"name","power"
"1.5kW",1.5
"4kW",4.0
"5kW",5.0
"6kW",6.0
"6.6kW",6.6
"8kW",8.0
"10kW",10.0
"12kW",12.0
"13.75kW",13.75
"14kW",14.0
"22kW",22.0
"32kW",32.0
"45kW",45.0
"100kW",100.0
"150kW",150.0
"200kW",200.0
