"name","radiation","radiation_id"
"1",5.30,"Radiation Manta 2023"
"2",5.24,"Radiation Manta 2023"
"3",5.92,"Radiation Manta 2023"
"4",5.81,"Radiation Manta 2023"
"5",5.26,"Radiation Manta 2023"
"6",4.08,"Radiation Manta 2023"
"7",4.00,"Radiation Manta 2023"
"8",4.23,"Radiation Manta 2023"
"9",4.49,"Radiation Manta 2023"
"10",4.54,"Radiation Manta 2023"
"11",4.63,"Radiation Manta 2023"
"12",5.05,"Radiation Manta 2023"
